,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
13,"Apple
4.2",Computer Vision Data Scientist,"Cupertino, CA","Summary
Posted: Apr 21, 2022
Role Number:200370492
Do you have a passion for computer vision and deep learning problems? We are looking for someone who thrives on collaboration and wants to push the boundaries of what is possible today! The Video Computer Vision org is a centralized applied research and engineering organization responsible for developing real-time on-device Computer Vision and Machine Perception technologies across Apple products. We balance research and product to deliver Apple quality, state-of-the-art experiences, innovating through the full stack, and partnering with HW, SW and ML teams to influence the sensor and silicon roadmap that brings our vision to life.
Key Qualifications
You're experienced with at least one programming/scripting language (e.g., Python, Scala, and/or Java).
Proficiency in at least one major machine learning framework such as Tensorflow
Extensive knowledge in machine learning and deep learning techniques
Have a big enough toolbox to know how to find patterns in data, identify targets for performance, and identify sources of variance about those targets.
have prior proven industry experience with large data sets using technologies like Hadoop, Hive, and Spark.
Use good judgment balancing art and science when visually communicating information (e.g. Tableau, Superset, ggplot, D3, matplotlib, plotly/bokeh).
You are self-motivated and curious with demonstrated creative and critical thinking capabilities and an innate drive to improve how things work.
You have a high tolerance for ambiguity. You find a way through. You anticipate. You connect and synthesize!
have excellent verbal and written communications skills and experience in influencing decisions with information.
Description
We work on complex problems in computer vision that require robust, efficient, well tested, and clean solutions. The ideal candidate will possess the self-motivation, curiosity, and initiative to achieve those goals. Analogously, the candidate is a lifelong learner who passionately seeks to improve themselves and the quality of their work. You will work together with similar minds in a unique team where your skills and expertise can be used to influence future user experiences and hardware that will be used by millions.
Education & Experience
PhD or MS in Computer Science, Statistics, Physics, Operations Research, or similar quantitative domain.
Additional Requirements
Start your job application: click Apply Now
Show Less",#N/A,10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1976,$10+ billion (USD)
14,"Pathward
3.6",Data Scientist,Remote,"Job Responsibilities:
Manage data scientist and data specialist team.
Identify the efficient source for quality data collection,
Lead data collection and data mining processes.
Ensure and guarantee data integrity.
Analyze data and interpret data problems.
Plan project, prioritize and streamline all planned data projects.
Develop a proper analytic system according to the requirements.
Analyze and test the performance of the products.
Build reports on the visualization and performance of the products.
keep implementing new techniques and models.
Line up the data projects according to the goals of the company.


Job Skills:
Bachelor’s degree in Data Science, Computer Science, or other related fields.
Proven experience in Data Science and other related fields.
Good understanding o techniques of data management and visualization.
Expertise in statistical data analysis and predictive data modeling.
Good technical and coding knowledge of Python, R language, MATLAB, SQL, and other databases.
Outstanding communication skills.
Inspiring leadership qualities and organizational skills.
Start your job application: click Easy Apply
Show Less",#N/A,1001 to 5000 Employees,Company - Public,Financial Services,Banking & Lending,1954,$100 to $500 million (USD)
15,"Amgen
4.1",Sr. Associate Data Scientist (Remote),"Thousand Oaks, CA","HOW MIGHT YOU DEFY IMAGINATION?
You’ve worked hard to become the professional you are today and are now ready to take the next step in your career. How will you put your skills, experience and passion to work toward your goals? At Amgen, our shared mission—to serve patients—drives all that we do. It is key to our becoming one of the world’s leading biotechnology companies, reaching over 10 million patients worldwide. Come do your best work alongside other innovative, driven professionals in this meaningful role.
Sr. Associate Data Scientist (Remote)
Live
What you will do
Let’s do this. Let’s change the world. Manufacturing and Clinical Supply (MCS) within Process Development is hiring a Sr. Associate Data Scientist to support its multiple digital data programs. MCS is responsible for the end-to-end delivery of products, process knowledge and technology solutions to enable Amgen’s accelerated product commercialization. MCS serves as a launch site to enable speed to market for Amgen’s innovative products and biosimilars. This person will build a wide-range of innovative data and analytics solutions, from descriptive to prescriptive, develop advanced analytical models, integrate data, derive insights, automate and enhance processes. The ideal candidate enjoys tackling business challenges and excels at organizing information from numerous data sources translating into business insights.
Responsibilities:
Leverage large datasets to conduct end-to-end supply chain and manufacturing analytics that include data gathering and requirements specifications, processing, analytics, and presentations
Understand and collect business/functional requirements, recommend metrics, and create a roadmap/timeline
Interact cross-functionally with a wide variety of people and teams. Work closely with subject matter experts to deliver value by developing novel, practical, scientific, data-driven solutions to meet business needs
Synthesize input into a prioritized feature list and build User Stories (requirements) for each feature
Build a wide range of data and analytics solutions, from descriptive to prescriptive, using sophisticated statistical and machine learning models
Prototype, build, and customize analytical applications to enable in-depth analysis
Define and create automated interactive dashboards and tools that turn data into business insights
Document data relations, data flows, and business logic
Partner with IS and Data Engineers to ensure that the models feeding the dashboards are robust, functional, and relevant to business needs
Ensures delivery of efficient, agile, integrated business and system processes while incorporating agile project management approaches
Win
What we expect of you
We are all different, yet we all use our unique contributions to serve patients. The dynamic professional we seek is an individual with these qualifications.
Basic Qualifications:
Master’s degree OR
Bachelor’s degree and 2 years of directly related experience OR
Associate’s degree and 6 years of directly related experience OR
High school diploma / GED and 8 years of directly related experience
Preferred Qualifications:
Expertise working with large data sets, data mining, and visualization
Expertise in Python and/or R and/or SQL programming languages
Understanding of biopharmaceuticals process and supply chain
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Independent, self-motivated, organized, able to multi-task in time-sensitive environments, and skilled in communication, facilitation, and collaboration
Familiarity with DevOps and software best practices (i.e., version control, continuous integration, test driven development)
Experience with interpreting and extracting meaning from different types of data sets
Excellent communication skills (written and verbal)
Must have a helpful personality and like to address challenges in a collaborative way
Thrive
Some of the vast rewards of working here
As we work to develop treatments that take care of others, we also work to care for our teammates’ professional and personal growth and well-being.
Full support and career-development resources to expand your skills, enhance your expertise, and maximize your potential along your career journey
A diverse and inclusive community of belonging, where teammates are empowered to bring ideas to the table and act
Generous Total Rewards Plan—comprising health, finance and wealth, work/life balance, and career benefits—with compensation and benefits rated above 4 stars (out of 5) on Glassdoor
Apply now
for a career that defies imagination
Objects in your future are closer than they appear. Join us.
careers.amgen.com

Join Us
If you're seeking a career where you can truly make a difference in the lives of others, a career where you can work at the absolute forefront of biotechnology with the top minds in the field, you'll find it at Amgen.
Amgen, a biotechnology pioneer, discovers, develops and delivers innovative human therapeutics. Our medicines have helped millions of patients in the fight against cancer, kidney disease, rheumatoid arthritis and other serious illnesses.
As an organization dedicated to improving the quality of life for people around the world, Amgen fosters an inclusive environment of diverse, ethical, committed and highly accomplished people who respect each other but compete intensely to win. Together, we live the Amgen values as we continue advancing science to serve patients.
Amgen is an Equal Opportunity employer and will consider all qualified applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.
We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.
Amgen requires all staff in the United States, Puerto Rico and Canada to be vaccinated from COVID 19 as a condition of employment. In accordance with applicable law, Amgen will provide reasonable accommodations to staff members who qualify on the basis of a medical reason or a sincerely held religious belief, practice, or observance. Such accommodation may not pose an undue hardship to Amgen, its operations, or its staff.
Apply Now: click Apply Now
Show Less","$93,901 /yr (est.)",10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1980,$10+ billion (USD)
16,Tra'Bian Enterprises0,(5) Data Analyst / Data Scientist,Remote,"Location: 100% Remote

Position Type: Contract

Position Term: 6 Months to 1 Year

Skills:
For initial chatbot development –
Experience analyzing call logs, online-chat transcripts,
Experience with web and mobile usage to determine a prioritized list of suggested intents to create.
Once the chatbot is created – will uses analytics data from Watson Assistant to provide insights into overall Bot performance and areas of improvement.
Show Less",#N/A,Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
17,"STEPS TALENT, LLC0",Data Scientist - 3 positions - 100% remote,Remote,"We are looking to hire 3 Data Scientists to work on healthcare predictive analytics and infrastructure models using healthcare data.
Term - long-term contract with the potential of converting full-time.
Candidates can work remotely
Ideal Profile: PhD with 2-4 years of ML experience along with R/Python and SQL programming
Required Experience & Skills
Statistical analysis and Machine learning (NLP).
Candidate must have ability to understand results and write code that can perform analysis.
R and Python are used in this role, candidate must be proficient in either.
SQL is needed as well.
Candidate needs to be knowledgeable in relational database and knowledge of distributed computing and ability to work with large datasets.
Sound understanding of areas of computer science such as algorithms, data structures, and databases.
Candidate needs to have real world data experience (not just school).
Bachelors is needed for the role (PHD is preferred).
Preferred Skills
Experience in deploying models and working with large scale database and Microsoft Azure. Familiarity with healthcare data is a plus.
Job Type: Full-time
Pay: $55.00 - $75.00 per hour
Benefits:
Flexible schedule
Schedule:
Monday to Friday
Application Question(s):
Will you now, or in the future, require sponsorship for employment visa status (e.g. H-1B visa status)?
Education:
Bachelor's (Required)
Experience:
Python: 4 years (Required)
SQL: 4 years (Required)
Statistical analysis: 4 years (Required)
Machine learning: 4 years (Required)
Data structures: 4 years (Required)
Work Location: Remote
Show Less",$65.00 /hr (est.),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18,"i28 technologies corporation
4.2",Entry Level Data Scientist/AIML Engineer - 114009,"Marysville, MI","Interpret data, analyze results using Mathematical and satistical techniques.
Design, develop and implement data processing and analytics platform using Python
Develop predictive /prescriptive systems
Problem solving, improving data quality
Implement databases, data collection systems, data analytics
Identify, analyze, and interpret trends or patterns in data sets
Analytical and problem-solving skills
Job Type: Full-time
Salary: $55,000.00 - $60,000.00 per year
Benefits:
Health insurance
Schedule:
8 hour shift
Work Location: One location
Show Less","$57,500 /yr (est.)",1 to 50 Employees,Company - Private,Financial Services,Accounting & Tax,#N/A,Less than $1 million (USD)
19,"John Snow Labs
4.1",Healthcare Data Scientist,Remote,"Company Description

John Snow Labs is an award-winning AI and NLP company, accelerating progress in data science by providing state-of-the-art software, data, and models. Founded in 2015, it helps healthcare and life science companies build, deploy, and operate AI products and services. John Snow Labs is the winner of the 2018 AI Solution Provider of the Year Award, the 2019 AI Platform of the Year Award, the 2019 International Data Science Foundation Technology award, and the 2020 AI Excellence Award.
John Snow Labs is the developer of Spark NLP - the world’s most widely used NLP library in the enterprise - and is the world’s leading provider of state-of-the-art clinical NLP software, powering some of the world’s largest healthcare & pharma companies. John Snow Labs is a global team of specialists, of which 33% hold a Ph.D. or M.D. and 75% hold at least a Master’s degree in disciplines covering data science, medicine, software engineering, pharmacy, DevOps and SecOps.

Job Description

We are looking for a superstar data scientist, who is familiar and experienced with applying machine learning and deep learning in the area of healthcare. This role requires proven hands-on experience training and optimizing models, building production-ready inference pipelines in Python, performing exploratory data analysis & enrichment, and validating models for issues like bias, overfitting, and concept drift.
Since we primarily work in healthcare and life science, background in medicine, pharma, bioinformatics, or biostatistics is highly beneficial. A PhD degree in a relevant field is preferred.

Qualifications

The primary responsibilities will be working as part of a team in customer-facing projects - building models and machine learning, deep learning, natural language processing, and time series forecasting pipelines that address specific business needs. Working knowledge of Python and TensorFlow are a must; experience with Spark, Spark NLP, and other technology stacks is a big plus. The customer facing aspect of this role also requires strong oral & written communication skills.

We are looking for experts who are looking for long-term freelancing contracts, and wish to work on cutting-edge problems, learn and grow. This role for individuals who can commit at least 30 hours per week to this project. We are not able to consider agency or team applications.

This is a career opportunity that will enable you to expand your knowledge and experience of different tools and techniques, work within a team of big data and data science experts, and make a positive impact with your work. If you quality and are interested, please include the words 'John Snow Labs' in your cover letter and explain why you are the best fit for this role.

Additional Information
We are a fully virtual company, collaborating across 26 countries.
Open to candidates worldwide - work remotely from anywhere.
This is a contract opportunity, not a full-time employment role.
This role requires the availability of at least 30 hours per week.
Show Less",#N/A,51 to 200 Employees,Company - Private,Healthcare,Health Care Services & Hospitals,2015,Unknown / Non-Applicable
20,"Salesforce
4.4","Staff Data Scientist, Customer Experience",Remote,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
We are looking for an experienced data scientist to support the Customer Experience team at Slack. At Slack, our mission is to make people’s working lives simpler, more pleasant, and more productive. The Customer Experience team lives this every day, providing a delightful experience to our customers.
In this role, you will work closely with the Customer Experience organization to understand and improve the experience people have with Slack across every stage of the customer journey. You will have the opportunity to influence key business and product decisions through your analysis and insights. Your credibility will be strengthened through deep technical skills, strong business sense, and a clear dedication to improving our customers’ experiences. You will bring a solid understanding of SaaS businesses, forecasting models, and ways to process natural language. You can also tell compelling stories with data.
Slack has a positive, diverse, and supportive culture—we look for people who are curious, inventive, and work to be a little better every single day. In our work together we aim to be smart, humble, hardworking and, above all, collaborative. If this sounds like a good fit for you, why not say hello?
What you will be doing
Apply various data science methods to understand usage patterns of Slack Support
Perform evidence-based evaluations of the most important drivers of satisfaction with Slack and Slack Support
Build out key success metrics and reporting for the Customer Experience organization
Prototype foundational data pipelines and partner with the data engineering organization to elevate these into canonical sources of truth for Customer Experience metrics
Identify and clearly communicate potential opportunities to improve the experience of people using Slack
Evangelize evidence-based decision making by partnering with key decision makers and driving general accessibility of data and insights
Organize disparate facts and analyses into a coherent narrative that evaluate the success of and influence product and support strategy
What you should have
A passion for customer support and the role it plays in making a customer-centric team successful
Expertise in scoping work requested by diverse sets of stakeholders
Data science or engineering experience doing data science or quantitative analysis, with preferred experience in settings with multiple consumer user types, such as a marketplace or productivity or collaboration tools.
Expertise in at least one programming language for data analysis (e.g. Python, R, Scala)
Experience working with data technologies that allow analysis of large amounts of data (e.g. Spark, Presto, Hive, Hadoop, etc). Familiarity with Apache Airflow is a plus.
Comfortable and skilled at written and verbal communication to varied audiences
Experience collaborating with and influencing cross functional partners
Experience in building advanced data pipelines and designing data scheme and table infrastructure
Experience in cleaning sets of data so accurate decisions and forecasts can be made
A related technical degree is required
Plus: An advanced degree (MS, PhD) in a quantitative field (e.g. Computer Science, Economics, Physics)
Plus: Experience with statistical and machine learning methods to build descriptive and predictive models
For Colorado-based roles: Minimum annual salary of $150,200. You may also be entitled to receive bonus, restricted stock units, and benefits. More details about our company benefits can be found at the following link: https://www.getsalesforcebenefits.com/
*LI-Y
Accommodations
If you require assistance due to a disability applying for open positions please submit a request via this Accommodations Request Form .
Posting Statement
At Salesforce we believe that the business of business is to improve the state of our world. Each of us has a responsibility to drive Equality in our communities and workplaces. We are committed to creating a workforce that reflects society through inclusive programs and initiatives such as equal pay, employee resource groups, inclusive benefits, and more. Learn more about Equality at Salesforce and explore our benefits.
Salesforce, Inc . and Salesforce.org are Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Salesforce, Inc . and Salesforce.org do not accept unsolicited headhunter and agency resumes. Salesforce, Inc . and Salesforce.org will not pay any third-party agency or company that does not have a signed agreement with Salesforce, Inc . or Salesforce.org .
Salesforce welcomes all.
Apply Now: click Apply Now
Show Less","$150,200 /yr (est.)",10000+ Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,1999,$10+ billion (USD)
21,"Boston Scientific Corporation
4.2",Senior Data Scientist,"Marlborough, MA","Senior Data Scientist
Boston Scientific's hybrid workplace includes remote and onsite roles. By applying to this position, you will have the opportunity to discuss your preferred working location with your Talent Acquisition Specialist.
Remote Eligible: Hybrid
Onsite Location(s): Marlborough, MA, US, 01752
Additional Location(s): US-MN-Arden Hills; US-MN-Maple Grove; US-MN-Minnetonka
Diversity - Innovation - Caring - Global Collaboration - Winning Spirit - High Performance
At Boston Scientific, we’ll give you the opportunity to harness all that’s within you by working in teams of diverse and high-performing employees, tackling some of the most important health industry challenges. With access to the latest tools, information and training, we’ll help you in advancing your skills and career. Here, you’ll be supported in progressing – whatever your ambitions.

About the Role:
This is a great opportunity to join the Global Technology Partnerships team to deliver high impact technologies aligned with the needs of Boston Scientific. We are looking for a highly-motivated Senior Data Scientist with a broad data science skillset, responsible for identifying, developing and operationalizing machine learning algorithms to solve significant business and healthcare challenges ranging from improving operational efficiency to developing new medical device features.

Your responsibilities will include:
Applies expertise in machine-learning, artificial intelligence, data management and mining, and information retrieval to design, prototype, integrate, and deliver useful analytical tools that drive business growth across BSC.
Develops best practices for analytics (models, standards, tools) and deployment to production environments.
Collaborates with Global Technology Partnerships team members, cross-functional stakeholders, and external partners at leading research institutions to identify, plan and execute on projects having large potential business impact.
Exhibits strong organization, leadership and mentorship over an AI Scholar program that aims to engage and develop data science talent across the company
Gathers voice of the customer and assesses business feasibility of proposed solutions.
Generates appropriate model validation and project documentation.
Develops and documents intellectual property

Required Qualifications
PhD in Computer Science, Biomedical Engineering or related field of study; or a MS with a minimum of 2 years of industry experience in Analytics; or a BS with a minimum of 5 years of industry experience in Analytics
Minimum 2 years of experience with Python and/or ""R""
Highly adaptable, flexible and willing to accept new ideas, processes, and procedures
Demonstrated record of cross-functional teamwork in a technically demanding environment
Excellent oral and written communication skills to communicate effectively with both technical and non-technical teams or individuals
Ability to work independently to plan and schedule activities necessary to meet timelines
Detail oriented, organized and perform to a high level of accuracy in all tasks

Preferred Qualifications
Experience with architecture of data systems and connectivity
Experience with cloud platforms, such as AWS, Google, or Azure
Experience in using SQL to query and manipulate large data sets for analysis
Experience working in lean-agile and ML Ops environments
Experience in leveraging data visualization tools like Tableau, Power BI, etc.
Experience with deep learning toolkits such as TensorFlow, PyTorch, Keras, etc.
Practical experience developing and deploying software, ideally in the healthcare industry
Experience with design thinking and voice of customer activities

Requisition ID: 545431

As a leader in medical science for more than 40 years, we are committed to solving the challenges that matter most – united by a deep caring for human life. Our mission to advance science for life is about transforming lives through innovative medical solutions that improve patient lives, create value for our customers, and support our employees and the communities in which we operate. Now more than ever, we have a responsibility to apply those values to everything we do – as a global business and as a global corporate citizen.

So, choosing a career with Boston Scientific (NYSE: BSX) isn’t just business, it’s personal. And if you’re a natural problem-solver with the imagination, determination, and spirit to make a meaningful difference to people worldwide, we encourage you to apply and look forward to connecting with you!

At Boston Scientific, we recognize that nurturing a diverse and inclusive workplace helps us be more innovative and it is important in our work of advancing science for life and improving patient health. That is why we stand for inclusion, equality, and opportunity for all. By embracing the richness of our unique backgrounds and perspectives, we create a better, more rewarding place for our employees to work and reflect the patients, customers, and communities we serve. Boston Scientific is proud to be an equal opportunity and affirmative action employer.

Boston Scientific maintains a drug-free workplace. Pursuant to Va. Code § 2.2-4312 (2000), Boston Scientific is providing notification that the unlawful manufacture, sale, distribution, dispensation, possession, or use of a controlled substance or marijuana is prohibited in the workplace and that violations will result in disciplinary action up to and including termination.

Please be advised that certain US based positions, including without limitation field sales and service positions that call on hospitals and/or health care centers, require acceptable proof of COVID-19 vaccination status. Candidates will be notified during the interview and selection process if the role(s) for which they have applied require proof of vaccination as a condition of employment. Boston Scientific continues to evaluate its policies and protocols regarding the COVID-19 vaccine and will comply with all applicable state and federal law and healthcare credentialing requirements. As employees of the Company, you will be expected to meet the ongoing requirements for your roles, including any new requirements, should the Company’s policies or protocols change with regard to COVID-19 vaccination.


Nearest Major Market: Boston
Job Segment: R&D Engineer, Research Scientist, Senior Scientist, R&D, Biomedical Engineering, Engineering, Science, Research
To apply to this job, click Apply Now
Show Less","$116,444 /yr (est.)",10000+ Employees,Company - Public,Manufacturing,Health Care Products Manufacturing,1979,$10+ billion (USD)
22,"TikTok
3.7","Data Scientist, University Graduate (Data Analysis TikTok)- 2023 Start (BS/MS)","Seattle, WA","Responsibilities
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

Team Introduction
As a member of the Data Science and Product Analytics team, you will work with diverse and highly collaborative teams of product managers, engineers, and other data analysts to drive product impact. You will be working on exciting projects to provide the best user experiences to create, consume and enjoy content on TikTok. You will have the opportunity to define metrics and identify opportunities from one of the richest data sets in the world, and convert the insights into real changes for both new initiatives and scaled products. You are a self-starter who is excited about data, excels in product logic thinking, clear communication, and brings distinctive problem-solving skills and impeccable business judgment.

We are looking for talented individuals to join our team in 2023. As a graduate, you will get unparalleled opportunities for you to kickstart your career, pursue bold ideas and explore limitless growth opportunities. Co-create a future driven by your inspiration with TikTok.

Successful candidates must be able to commit to one of the following start dates below:
1. January 16, 2023
2. February 6, 2023
3. March 6, 2023
4. May 22, 2023
5. June 12, 2023
6. July 17, 2023
7. August 14, 2023
We will prioritize candidates who are able to commit to these start dates. Please state your availability and graduation date clearly in your resume.

Application deadline: February 15th, 2023
Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basis - we encourage you to apply early.

Responsibilities:
Develop comprehensive product metrics and quantitative measurement structure based on product stages and business purposes.
Design and implement reporting dashboards and the associated data pipeline to deliver insights and improve the workflows of internal teams.
Partner closely with key stakeholders to optimize overall product adoption and performance driven growth. Provide suggestions for improvements to align with the business goal.
Measure and visualize the effectiveness of product updates, conduct research and analysis on various business processes to identify business problems, and further provide optimization suggestions to improve operating efficiency.
Be creative and think outside of the box to bring innovative product solutions to our users.
Qualifications
Bachelor's or Master's degree in data analytics/ quantitative or related fields or equivalent practical experience.
Bachelor's or Master's degree in data analytics/ quantitative or related fields or equivalent practical experience.
Final year or recent graduate with a background in data analytics/ quantitative, or a related technical discipline.
Experience with one of the programming languages: SQL, R, Python.
Ability to conduct rigorous analysis and communicate conclusions to both technical and non-technical audiences.
Understanding of data modeling and statistical analysis techniques, including: hypothesis testing, model evaluation, and common regression and classification algorithms.
Solid communication and collaboration skills with the ability to work effectively with internal teams in a cross-cultural and cross-functional environment.
Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment.
Preferred Qualifications:
Demonstrated data science or product analysis experience from previous internship, work experience, etc. Product management experience is a plus.
Demonstrated experience handling terabyte size datasets, applying statistics and machine learning techniques and algorithms, using visualization tools to present data.
Demonstrated success in leading data-driven projects from definition to execution, from defining metrics to communicating actionable insights.
Understanding of deep learning, or distributed computing (Hive/Hadoop).
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.

TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at Accommodations-AMS@tiktok.com.

By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy.
Start your job application: click Apply Now
Show Less","$123,790 /yr (est.)",1001 to 5000 Employees,Company - Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable
23,"Amazon.com Services LLC
3.8",NLP Data Scientist,"Pittsburgh, PA","* BA/BS in Linguistics, Computer Science, Computational Linguistics, Language Technologies * Experience with Machine Translation, Machine Learning, NLP, and/or corpus analysis * Scripting abilities in a language like Python * Excellent analytical, troubleshooting and problem-solving skills
Job summary
Amazon is looking for Natural Language Processing Data Scientists/Computational Linguists with experience in Machine Translation (MT) and/or Natural Language Processing (NLP) to help us expand our MT and NLP technology.

Amazon’s International Search team owns defining and delivering Amazon’s cutting-edge Search and Machine Translation initiatives to customers and cultures across multiple regions. We do this by developing our own customer-facing features, services and platforms based on customer needs, and through partnerships with Amazon technical teams.

You will work with the largest online retail search application in the world, both in terms of users, catalog size, and computing resources, and your work will directly impact millions of our customers. You will collaborate with recognized experts in business, science and engineering.

Our mission is to enable a superior experience for all of Amazon’s customers in their native language by developing and deploying state-of-the art technology and applications in Machine Translation (MT), Natural Language Processing (NLP) and Machine Learning (ML). The global scale of Amazon means true big data problems, big data opportunities, and building for global customers. Machine Translation allows Amazon to reach people in their preferred language. We are a team tackling the tough language problems that general-purpose MT cannot solve.

As part of our cross-functional MT research & development team, you will work on developing, deploying, maintaining, and supporting our fleet of Machine Translation engines, particularly focused on Search. You will experiment with training data manipulation, multi-arc systems, error analysis, evaluation techniques, and modeling innovations in the MT space. Your linguistic expertise will help guide the team’s work to smart approaches to a wide variety of languages. Your work will directly impact millions of our customers in the form of products and services that make use of our MT and NLP technology. You will gain hands-on experience with Amazon’s heterogeneous language data sources and large-scale computing resources to accelerate advances in MT and NLP.

Key job responsibilities
Drive linguistic and NLP exploration and innovation for MT improvements
Train and evaluate neural MT models
Analyze the accuracy and performance of MT models and drive testing techniques
Assist in deploying, maintaining, and supporting Amazon's fleet of dedicated MT systems in production
Design data-processing workflows to collect, analyze and prepare large natural language data sets
Conduct large-scale A/B testing of MT models for retail customers worldwide

* Good written and spoken communication skills * Experience using tools and systems for standard MT and NLP tasks, such as language modeling, named entity recognition, syntactic parsing, etc. * Formal or informal knowledge of linguistics and/or foreign languages Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.
Apply Now: click Apply Now
Show Less","$113,710 /yr (est.)",10000+ Employees,Company - Public,Information Technology,Internet & Web Services,1994,$10+ billion (USD)
